index,label,n_failed,error_type,models_failed,song,artists,lyrics
1071,0,5,FP,"regex,roberta,llama,qwen,bert",Loup Garou,"['GIMS', {'label': 'spotify:artist:6qFt3TjvxMt77YGsktWG8Z'}]","Loup garou Lyrics Check On va fumer du porc  on va manger du shit  plus l'temps  t'étonne pas qu'on sous-traîte la violence Et mes victimes t'expliqueront les dangers du feat  cimetière de rappeurs  véritables insolences J'étale mon cosmos  les étoiles disent : ""Amen""Au sommet d'l'empire  Vivendi  l'heure de l'ombre et devine qui ramène ?On pourra convaincre tout l'monde qu'on a changé mais jamais soi-même Verse un peu de sang pour rougir le bouton  hashtag ""loup-garou"" sous la peau de mouton Sous le masque du gentil Fianso  c'était moi Tu prêtes pas l'allégeance  on t'arrache ta mère C'est Lord Voldemort  inutile de mentir J'arrive sur l'industrie à dos de Pégase pour charmer les sorciers  boire le sang des vampires Pardonnez les Hobbits du haut de ma tour   le contact à l'antimatière Ramène pas les condés dans l'four   frère  on va t'niquer ta mère Cartel de Cali  quelle boulette de shit ? On t'apporte la Géode Y a qu'un seul parrain pour toute l'Italie  au 33 du rite écossais  Mac Leod Je suis l'abscisse  désordonné  Scritch et moi-même pour glisser dans l'panneau Égorge un agneau  mesure la secousse  un cercle  un anneau pour les gouverner tous J'ai lu mon avenir dans un litron d're-pu : En famille qu'on saigne  en famille qu'on gagne Choisis autre chose qui n'se rencontre pas  je suis un kabyle  je viens des montagnes Rafale dans kamis  on boit des K-bis  les abysses m'accompagnent Patate dans Batman sans accessoires ou d'cape Ton blase sur ma liste noire et fin d'l'histoire  coup d'pompes J'vis sans coloris  des ennemis trop lents  transac' droguée  le remix  faire l'deal Une baguette magique  un balai volant  pfff  Glock  GSX-R1000J'ai dit ""endolori""  j'allume à bout touchant  sous la Lune  le couchant  j'ai les impacts au torse De bonne manufacture  Go Go Gadgeto-pompe  chevrotine Transformers chez General Motors Et tôt ou tard  le prince devient l'ennemi du roi  j'vais m'asseoir mais t'as déconné J'ai le goût du pouvoir  du huitième et tu croyais m'avoir mais j'suis désolé Fianso Mon p'tit loup  mon p'tit loup  reste pas là  ça devient che-lou Mon p'tit loup  mon p'tit loup  éloigne-toi  y a un loup-garou Mon p'tit loup  mon p'tit loup  reste pas là  ça devient che-lou Je vais te briser l'cou Parce que la vie m'a mis des coups et qu'j'arrête pas d'me prendre la tête avec des gens qui pensent me connaître comme mes parents  ouais  j'suis paro'J'manifeste peu d'amour  j'ai toujours pas trouvé les mots C'est Waraoui ou Warano ? Dis-moi  y a quoi après la mort ?C'est la fuego  les dineros  c'est le uno  mon numéro Pour Adama Diallo  poulo  on a commencé ça sous l'eau  sous l'eau Solo dans le zoo  éviter la zonz  neuvième était la zone et ça gratte à la maison Ça d'vient très  très grave  le démon se branle quand les Hommes s'égarent Restons sur nos gardes  j'pense pas qu'on soit dans un sketch de Gad Tu t'appelles Agathe  laisse-moi te dire qu'les câlins  ça m'gave Et les hommes aiment voir que les jambes s'écartent et que tout se gâte comme à Kattegat Ok  dis-moi  qu'est-ce tu veux ? À défaut d'te dire : ""Enfoiré  qu'est-ce tu vaux ?""Un peu d'oseille pour éprouver ta go  dégagez l'passage  voilà Gustavo On va pas s'mytho  dire que tout est beau  j'te dirai qui t'es si tu vides tes poches Allez  manque de pot  tu t'appelles Sakho et là  forcément  c'est la classe éco'Je n'ai jamais baissé mon pantalon  je n'ai jamais mis de talons Je vais te casser les phalanges  tu verras comment c'est marrant J'suis gaulé comme un étalon  le baron  daron des darons  est-ce que tu m'suis ?Viens  on parle sur Whats App  j'suis sur écoute  mieux vaut chuchoter Le manager a anticipé que la petite garce allait screenshoter Eh oh  c'est moi  celui qu'la SACEM ne peut plus payer Français  Françaises  j'arrive en paix  190K sur le poignet T'es venu au monde avant la honte  j'te donne l'heure  tu veux prendre la montre Les Vineurs deviennent des chanteurs  on va pas s'gêner comme chez les Jenner À trente-deux piges  t'es pas 'sé-po'  t'as peur de prendre une Parigot Deux gosses plus tard  tout à coup  elle t'apprend qu'c'est une prostituée d'Pizza Pino Ils veulent m'épier  m'piller  voire me déshabiller  m'scier Car ils pensent que les billets de la NBAPosés chez 'oi-m' côté cheminée... ah  comme quoi faut s'méfier T'y es pas du tout  c'est mon putain d'métier Veuillez reculer  vous recroqueviller sur vous car vous n'êtes même pas conviés Je n'cesse d'enquiller  d'plier  demande aux Antillais  je suis un mec trop entier Puis ferme ta gueule pendant qu't'y es  tu marches sur mon putain d'sentier Tu pensais pouvoir t'en tirer  je vais t'attirer  t'enterrer  te tarteler  on t'a repéré Quatre-vingt treize  douze  Essonne  Tarterêts You might also like Mon p'tit loup  mon p'tit loup  reste pas là  ça devient che-lou Mon p'tit loup  mon p'tit loup  éloigne-toi  y a un loup-garou Mon p'tit loup  mon p'tit loup  reste pas là  ça devient che-lou13Embed"
1074,0,5,FP,"regex,roberta,llama,qwen,bert",Redneck,['Lamb of God'],Redneck Lyrics So goddamn easy to write this You make it spill on the page So drunk on yourself  self-righteous A laughing stock of your own fucking stage But I ain't one to call names Or throw stones in a house of glass You try me This is a motherfucking invitation The only one you could ever need This is a motherfucking invitation You try me Just one time you got a reason Heard you had nothing to lose A blind preacher for the pin-eyed congregation It must be easy to lose But I ain't one to call names Or throw stones in a house of glass You try me This is a motherfucking invitation The only one you could ever need This is a motherfucking invitation You try me You can tell the same lie a thousand times But it never gets anymore true So close your eyes once more and once more believe That they all still believe in you Just one time You might also like This is a motherfucking invitation The only one you could ever need This is a motherfucking invitation Just one time This is a motherfucking invitation You try me Just one time You try me Just one time You try me You try me3Embed
1109,0,5,FP,"regex,roberta,llama,qwen,bert",Cold Wind Blows,['Eminem'],"Cold Wind Blows Lyrics'Cause some things just don't change It's better when they stay the same Although the whole world knows your name So on a biggest stage  they Came to see you spit your game  ho-whoa But it shouldn't be difficult to explain Just why you came back again You hate the fame  love the game Cold as ice  you remain Fuck 'em all  tell 'em all  ""Eat shit!""Here we go again Oh!  God damn! Is it that time again already? Haha  Y'all don't look too happy to see me Fuck  man Don't everybody welcome me back at once A'ight  fuck y'all then You can get the dick  just call me the ballsack  I'm nuts Michael Vick in this bitch  dog—fall back  you mutts Fuck your worms  you never seen such a sick puppy Fuck it  a sick duck  I want my duck sicked  mummy And my nuts licked  gobble 'em up  trick  yummy Bitch  you don't fuckin' think I know that you suck dick  dummy?You'll get your butt kicked  fuck all that love shit  honey Yeah  I laugh when I call you a slut  it's funny Shorty  dance while I diss you to the beat  fuck the words You don't listen to 'em anyway  yeah  struck a nerve  sucker Motherfucker  might as well let my lips pucker Like Elton John  'cause I'm just a mean cocksucker The shit is on 'cause you went and pissed me off Now I'm shittin' and pissin' on everybody  give a fuck if it's right or wrong So puff the Buddha  light a bong But take a look at Mariah next time I inspire you to write a song Come on You might also like Oh  oh-oh  oh  oh-oh  oh I'm as cold as the cold wind blows When it snows and it's twenty below Ask me why  man  I just don't know Know-know-know  know-know  know I'm as cold as the cold wind blows Bl-bl-blows  blow-blow  blows; oh  oh-oh Fuck it  I'm a loose cannon Bruce Banner's back in the booth Y'all are sittin' ducks  I'm the only goose standin'I'll set the world on fire  piss on it  put it out Stick my dick in a circle  but I'm not fuckin' around Motherfucker  I'll show you pussy-footin'I'll kick a bitch in the cunt'Til it makes a queef and sounds like a fuckin' whoopee cushion Who the fuck is you pushin'?You must've mistook me for some sissy soft punk Lookin' for some nookie or bosom Go ahead  fuckin' hater  push me I told you ain't no fuckin' way to shush me Call me a faggot 'cause I hate a pussy Man the fuck up  sissy  G's up All you gardeners freeze up—Put your hoes down  ""Shady  ease up!Man  chill!"" Nah  I can't  goddamn it  rap is a landfill Drop the anvil  these are shoes that you can't fill Shit  the day that happens the world will stop spinnin'And Michael J. Fox'll come to a standstill During an earthquake  urine in your face 'cause you're fake*Lightning strike* Ow! What the fuck? That hurt  wait*Lightning strike* Ow! What the fuck? I just got struck by lightnin'Alright then  I quit  God  I give up Call it evil that men do Lord  forgive me for what my pen do""This is for your sins  I'll cleanse you And you can repent  but I'll warn you  if you continue To Hell I'll send you""And just then the wind blew And I said—Oh  oh-oh  oh  oh-oh  oh I'm as cold as the cold wind blows When it snows and it's twenty below Ask me why  man  I just don't know No-no-no  no-no  no I'm as cold as the cold wind blows Bl-bl-blows  blow-blow  blows; oh  oh-oh-oh  oh How long will I be this way? Shady until my dyin' day'Til I hang up the mic and it's time for me to say""So long "" 'til then I'll drop the fuckin' bombs Like I missed the pass when I went long If you don't like it you can kiss my ass in a lint thong Now sing along  slut this  slut that  learn the words to the song""Oh  bitches don't like that""  homie  I'll be nicer to women When Aquaman drowns and the Human Torch starts swimmin'Man  I'm a cold soul  I roll solo  so don't compare Me to them other bums over there It's like apples to oranges  peaches to plums  yeah I'm bananas  pussy  cut off the grapes and grow a pair But I swear  you try to diss me  I'll slaughter you I put that on everything  like everyone does with Auto-Tune The last thing you want to do Is have me spit out a rhyme  and say  ""I was writing this and I thought of you""So—Oh  oh-oh  oh  oh-oh  oh I'm as cold as the cold wind blows When it snows and it's twenty below Ask me why  man  I just don't know No-no-no  no-no  no I'm as cold as the cold wind blows Bl-bl-blows  blow-blow  blows; oh  oh-oh-oh  oh I don't know  I don't know what caused I don't know what caused me to be this way I don't know  I don't know But I'll probably be this way 'til my dyin' day I don't know why I'm so  I'm so cold Mean things I don't mean to say I guess this is how you made me114Embed"
1113,1,5,FN,"regex,roberta,llama,qwen,bert",Emotional,"['50 Cent', {'label': 'spotify:artist:1UE4l8O8PCBn72Uwgyyj12'}]",Emotional Lyrics I get emotional You might also like Embed
1120,0,5,FP,"regex,roberta,llama,qwen,bert",Swag On Point,['YoungBoy Never Broke Again'],"Swag On Point Lyrics Yeah I'm with a motherfuckin' treesh I ain't even gon' lie  this shit live Ain't no bubbly  I drink muddy I just bought some new CELINE   so your bitch wanna fuck me She love me  wan' cuff me  I know she might thug me I'm lusting  I'm rushing  this shit might get ugly But  long as my swag on point  uh AMBUSH on top Dior  I'm off the hook But  long as my swag on point  uh Givenchy necklace got me flexin'  say I'm sexy  she know not to try me  She want matchin' Fendi fits If I tell her  ""No "" I know she just might have a bad bitch fit I know that that girl try hide she toxic  she be on demon shit Wow  VLONE one million cologne  don't like me 'round her friends  she on me Yeah  huh  I fucked up my nails  I need 'em redone by this morning That's a lame  park 'bout it  she know that I'm concrete Close to her heart just like Givenchy  I'm dressed down in Givenchy Smokin' on dope all the way to the morning I got Percs  I got sip Got her stiff like a mummy Fuck that girl so long 'til she say she cummin' Rock swag  told her  ""Please be neat with my money""Yeah  bro  huh  I got too much CELINE Yeah  yeah  I got bitches makin' duwap for me Wow  yeah  long as she keep my hair braided  I'm not showing one care  now that's fair Rick Owen necklace rare Tell the opps the truth  I dare 'em Keep a bitch with long hair  and a big ass for me to slam 'em Drop of medicine in my Tropicana Bad white bitch from Alabama John Elliot when I go clean my dental They know we'll never stop playing with hammers Yeah  fuck  I gotta new Patek on me I just got this new supervillain shit  I'ma wear it with some purple jeans Bought both bitches designer too  yeah Huh  that's all me  Top You might also like Ain't no bubbly  I drink muddy I just bought some new CELINE   so your bitch wanna fuck me She love me  wan' cuff me  I know she might thug me I'm lusting  I'm rushing  this shit might get ugly But  long as my swag on point  uh AMBUSH on top Dior  I'm off the hook But  long as my swag on point  uh Givenchy necklace got me flexin'  say I'm sexy  she know not to try me Embed"
1122,1,5,FN,"regex,roberta,llama,qwen,bert",Dope Hat,['Marilyn Manson'],Translations Русский Dope Hat Lyrics The great Hoodoo! Huhoho  will perform a feat of prestidigitation I peek into the hole  I struggle for control The children love the show But they fail to see the anguish in my eyes Fail to see the anguish in my eyes I scratch around the brim  I let my mind give in  yeah  yeah The crowd begins to grin But they seem to scream when darkness fills my eyes Seem to scream when darkness fills my eyes  it's no surprise Prepare to meet  huhoho  your doom!Help!Fail to see the tragic  turn it into magic My big top tricks will always make you happy But we all know the hat is wearing me My bag is in the hat It's filled with this and that My vision's getting fat The rabbit's just a monkey in disguise Stars and pills and needles Dance before our eyes They will bite the hand if it is slower than The quickness of their scrutinizing eyes Fail to see the tragic  turn it into magic My big top tricks will always make you happy But we all know the hat is wearing me You might also like Chicanery will always make you happy But we all know the hat is wearing me4Embed
1133,0,5,FP,"regex,roberta,llama,qwen,bert",Dat Eazy,['Aidonia'],Dat Eazy Lyrics Jordan ask mi fi shoot  mi seh: dat easy Dawg dem a fool  dem a fool  nah nuh clue To di flow weh mi use  yeah  mi flow gi dem flu I'm fly  yeah  mi flew  dem a watch wid dem eye Weh mi fly  weh mi flew  pon a island weh cool Wid a nice likkle boo  wid a smile weh so cute And a vibe by di pool  and she tight  and she smooth And mi like how she ride when she ride pon e tool Pussy dem a try  dem a prove Treat dem like mi kids when mi drive  go to school Sеventeen ah di size ah mi shoes It nuh licеnse fi shoot  dat a light up e room Jordan  it easy fi wi Fi dem it hard  but it easy fi wi Easy  nuh dawg  dis easy fi wi Dem mek it hard but it easy fi wi Bad bitch  she a freak in di sheets She a suck it  mi nuh feelin' e teeth Yuh a wife har  but she fi di streets Look how dis easy fi wi Ruff it up  black  dat a blue And mi hot  dat a true like a hot pot ah soup From mi touch inna di streets  ah yuh gyal dat a scoop And mi pull up ah di gate  a di horn dat a toot Dat a toot  dat a toot and she hop inna di front A di droptop a coupe inna likkle bit ah shorts And she black  and she cool  and she bad  and she rude Mi a drive and she grab pon mi cock and a chew Wanna blow pon e top like a flute Mi a finger di pussy  she a act like a fool Cocky stand at attention  she gi dat a salute'Cah she know seh a top man a shoot Jordan  it easy fi wi Fi dem it hard  but it easy fi wi Easy  nuh dawg  dis easy fi wi Dem mek it hard but it easy fi wi Bad bitch  she a freak in di sheets She a suck it  mi nuh feelin' e teeth Yuh a wife har  but she fi di streets Look how dis easy fi wi You might also like Embed
1134,0,5,FP,"regex,roberta,llama,qwen,bert",Hold Your Own,['YoungBoy Never Broke Again'],"Hold Your Own Lyrics It's Young Boy Street nigga and she got a real possessive body Youngin'  don't you want your life? Don't be stupid  this ain't kamikaze How you 'posed to hustle? You can't focus  you out here takin' Roxies Knowin' I got the trick like hocus pocus for to drop the boxes Hold your own  young man Hold And remember no love Inside these streets you roam Go  New York in a peacoat  catch me jumpin' out of taxis Just paid ten million for my taxes  no time for flashin'Transaction active  he too flashy What's the worse perhaps could happen?Result in him tied up on the other sidе of the bed  stuffed undеr the mattress Tryna twist my world around like she a Rubik's Cube Tryna bring some love around to stop my hustle  I'll murder Cupid She say  ""You don't deserve me  stupid  you fuckin' jerk  let go of my shirt""Since grandma died  I ain't go to church  she a gospel woman  the past hurt In the 8-Atlantic-section  hand in a pot  I'm with VLBeen a chef before a rapper  I was tryna show 'em that my recipes still good still Duckin' from a line of steel  they done pried eight through the car Tell the bosses in my time  ""I'm on the line  hold your cigar""Shots fired  we send 'em back  the neighbors say they saw us And they knowin' we can't control it  but try protectin' they lil' boy Feelin' insecure  I could work you good  but feel like a lil' boy That's just me  I'm thinkin' out loud  but your bitch'll tell you I go hard I done jumped up out my sleep  I'm on K2  it's not that boy No direction  ain't no plans  just tell Khris to just press record Just bought a new house for my girl  my daughters  and my lil' boys Six million  bitch  I'm sittin' on top the mountain like Costello  nigga You might also like Hold your own  young man Hold And remember no love Inside these streets you roam Just did time  became a hustler  tryna turn it from backwards He been tryna make the money keep on stackin'Education out the streets  don't need no lecture pastor Run from police  they don't like me 'cause I'm a rich fuckin' bastard Turn it up  go faster  I come from stolen cars to my own whip Got a shooter inside with me  ain't got no name  they like  ""Who own him?""Told youngin  ""Don't leave the backside of that Nawf "" they like  ""Who zoned him?""Finally rich  I came home and turned around  they said  ""They cloned him""Mathematics gon' switch my whole position  we play with numbers here Start it  end it  puttin' shit in the grave  this be them diggers  yeah Green flag tattoos all on they face and they be quick to kill From the environment  holdin' my bitch body  it was an attempt to get me drilled The art of water  art of murder  look who standin' still Audemars came stainless steel Portrait painter can't even paint the kid DA tryna paint the picture A lie  I can't  the truths  I bid Signed a gentle bond  still set the bid Dreamed of contract business as a kid Hold your own  young man Hold And remember no love Inside these streets you roam Embed"
1139,0,5,FP,"regex,roberta,llama,qwen,bert",Overcame,['Mozzy'],"Overcame Lyrics Mook on the beats Ayy  how I'm 'posed to tell my youngin go to school When they just caught him at the lightrail  stripped him for his jewels  huh?How I'm 'posed to tell my auntie not to use When she ain't got no other means or methods to numb abuse?I know your pain  baby But look at all the other shit you overcame  baby In search of love  only reason why we gangbangin'Dove in them bloody waters  granny can't save me It's how the game made me If you ain't slid for your woes  can't respect that Raised a rodent like my own and I regret that Thought the bitch chosed on him  intercept that Your brudda slid in a remodel with a check trap Ayy  can you smell it through the wrapper  this a fresh pack If you convince him just to rap it  that's a death trap Your partner text you 'bout a murder  never text back Shout out the niggas yellin'  ""Mozzy  bring Mess back""I was only worth a hundred when I left Sac' And now it's multiple millions  they ain't expect that If you don't transfer the wire  I come collect that Forever Fourth  ain't no way I'm gon' neglect that Bitch  my gang affiliation got me feelin' kaydas I bet it leave an exit wound after penetratin'Fuckin' 'round at G-O-D  we ain't intimidated I'm built for it  this the process of elimination Ayy  how I'm 'posed to tell my youngin go to school When they just caught him at the lightrail  stripped him for his jewels  huh?How I'm 'posed to tell my auntie not to use When she ain't got no other means or methods to numb abuse?I know your pain  baby But look at all the other shit you overcame  baby In search of love  only reason why we gangbangin'Dove in them bloody waters  granny can't save me It's how the game made me You might also like Yeah  naked ladies 'cause they smack harder This red rag'll introduce you to the black-hearted Slidin' Regal with utensils off of jack artists Back to back blammy cases on the last charges  fuck it though'Cause I got niggas in the bounty never comin' home Not guilty  goggles  some slacks  and a little button-on We was sellin' dope to the family like it was nothin' wrong Pull up on the side of your vehicle  throw a hundred stones Woah  is that lil' bro out front the corner store?I told him go to school  he said they got him where the suckers go Almost had to burn a nigga twice  made him tuck and roll Ain't no longevity in it  just being a hundred though These niggas go to pointing fingers after taking trips Should've took it on the chin  you did some mainy shit I love you  auntie  never blame you for the way you live You gotta get yourself together 'fore they take your kid Ayy  how I'm 'posed to tell my youngin go to school When they just caught him at the lightrail  stripped him for his jewels  huh?How I'm 'posed to tell my auntie not to use When she ain't got no other means or methods to numb abuse?I know your pain  baby But look at all the other shit you overcame  baby In search of love  only reason why we gangbangin'Dove in them bloody waters  granny can't save me It's how the game made me Embed"
1160,0,5,FP,"regex,roberta,llama,qwen,bert",Flexicution,['Logic'],"Flexicution Lyrics Yeah I'm like  ""Oh  God  oh- oh  my God""Bitch  I run the game  y'all just commentate from the side I'm like  ""Oh  God  oh- oh  my God""Everything I do  you know I do it for the squad I'm like  ""Oh  God  oh- oh  my God""Bitch  I run the game  y'all just commentate from the side I'm like  ""Oh  God  oh- oh  my God""Everything I do  you know I do it for the squad I'm like...This-this-this-this-this the type of shit they said they really wanted So I gave them this right here  now go get blunted Check my last album  all y'all know I run it Flipped the script just 'cause I could and fucking stunted This-this-this-this-this the type of shit my life is all about Check the Forbes list  you know I'm ballin' out They say  ""Logic  you too humble  boy  just let it out""Fuck 'em all then  I'ma dead it now Like oh  I think I know  I think I know This flow  this super flow  out of control Like whoa  this shit like whoa  I think I know Like whoa  like  like whoa  like  like  like...You might also like This that flexicution This is what the people say they wanted from the young boy From the—from the—from the god This that flexicution This is what the people say they wanted from the rap god From the—from the—from the god I'm like  ""Oh  God  oh- oh  my God""Bitch  I run the game  y'all just commentate from the side I'm like  ""Oh  God  oh- oh  my God""Everything I do  you know I do it for the squad I'm like  ""Oh  God  oh- oh  my God""Bitch  I run the game  y'all just commentate from the side I'm like  ""Oh  God  oh- oh  my God""Everything I do  you know I do it for the squad I'm like...Hold on  let me bring it back Everybody know I'm bringing the facts And they wonder why I got it like that'Cause I put everything right on the track And you know I'ma fuck around and let it go I been living like woah  I been living  you already know And these motherfuckers wanna take up on every mistake And I'm showing where I'm going And I'm knowing what I'm doing  intuition never switching On a mission  motherfucker  why is you bitching? Why is you bitching?Like God damn  I'm like Hold up  wait a minute  they ain't ready for the hook It's another day  another book I feel like Indiana in Atlanta  hotter than Havana Coming with the stamina Bitch  put down your camera  and live in the moment This shit right here  everybody gon' want it  so what up wit’ it?Any and everybody talk about the boy changing Y'all can just shut up wit’ it 'cause I know Ain't none of y'all getting the flow  boy...This that flexicution This is what the people say they wanted from the young boy From the—from the—from the god This that flexicution This is what the people say they wanted from the rap god From the—from the—from the god I'm like  ""Oh  God  oh- oh  my God""Bitch  I run the game  y'all just commentate from the side I'm like  ""Oh  God  oh- oh  my God""Everything I do  you know I do it for the squad Yeah  I'm like  ""Oh  God  oh- oh  my God""Bitch  I run the game  y'all just commentate from the side I'm like  ""Oh  God  oh- oh  my God""Everything I do  you know I do it... & Logic]I know  I know  I know  I know  I know  I know It's been a hell of a ride up Hell of a ride up I know  I know  I know  I know  I know That I've been M.I.A  but I was tied up Till I heard you talking shit  now I'm fired up5-0 triple 0128Embed"
1171,0,5,FP,"regex,roberta,llama,qwen,bert",Run This Town,"['Rihanna', 'Kanye West', 'JAY-Z']","Run This Town Lyrics Feel it comin' in the air Hear the screams from everywhere I'm addicted to the thrill It's a dangerous love affair Can't be scared when it goes down Got a problem  tell me now Only thing that's on my mind Is who's gon' run this town tonight Is who's gon' run this town tonight We gon' run this town We are  yeah  I said it: we are This is Roc Nation  pledge your allegiance Get your fatigues on  all black everything Black cards  black cars  all black everything And our girls are blackbirds ridin' with they Dillingers I get more in depth if you boys really real enough This is la Familia  I'll explain later But for now  let me get back to this paper I'm a couple bands down and I'm tryin' to get back I gave Doug a grip and lost a flip for five stacks Yeah  I'm talkin' 5 comma  6 zeros  dot zero  here Doug Back to runnin' circles round niggas  now we squared up Hold up Life's a game  but it's not fair I break the rules  so I don't care So I keep doin' my own thang Walkin' tall against the rain Victory's within the mile Almost there  don't give up now Only thing that's on my mind Is who's gon' run this town tonight Hey  hey  hey  hey Who's gon' run this town tonight?You might also like We are  yeah  I said it: we are You can call me Caesar  in a dark Caesar Please follow the leader  so Eric B we are Microphone fiend  this the return of the god Peace  God  ah ah  it ain't no nobody fresher I'm in Maison  ah  Martin Margiela On the table  screamin'  ""Fuck the other side! They're jealous!""We got a banquette full of broads  they got a table full of fellas Yeah  and they ain't spendin' no cake They should throw their hand in 'cause they ain't got no spades Yeah  my whole team got dough So my banquette is lookin' like Millionaires' Row Life's a game  but it's not fair I break the rules  so I don't care So I keep doin' my own thang Walkin' tall against the rain Victory's within the mile Almost there  don’t give up now Only thing that's on my mind Is who's gon' run this town tonight Hey  hey  hey  hey Who's gon' run this town tonight?It's crazy how you can go from bein' Joe Blow To everybody on your dick; no homo I bought my whole family whips; no Volvos Next time I’m in church: please  no photos Police escorts  everybody passports This the life that everybody ask for This the fast life  we are on a crash course What you think I rap for  to push a fuckin' Rav 4?But I know that if I stay stunting All these girls only gon' want one thing I can spend my whole life Good Will Hunting Only good gon' come is this good when I'm cumming She got a ass that'll swallow up a G-string And up top  ungh  two bee stings And I'm beasting off the Riesling And my nigga just made it out the precinct We give a damn about the drama that your dude bring I'm just tryin' to change the color on your mood ring Reebok  baby  you need to try some new things Have you ever had shoes without shoe strings?""What's that  Ye?"" ""Baby  these heels""""Is that a May— what?!"" ""Baby  these wheels""You trippin' when you ain't sippin'  have a refill You feelin' like you runnin'  huh? Now you know how we feel Hey  hey Hey  hey Hey  hey Hey  we gon' run this town tonight What’s up?86Embed"
1178,0,5,FP,"regex,roberta,llama,qwen,bert",Not Afraid,['Eminem'],"Translations Português Italiano Ελληνικά Français Not Afraid Lyrics I'm not afraid Yeah To take a stand It's been a ride Everybody I guess I had to Come take my hand Go to that place to get to this one We'll walk this road together  through the storm Now some of you Whatever weather  cold or warm Might still be in that place Just lettin' you know that you're not alone If you're tryna get out Holla if you feel like you've been down the same road Just follow me  I'll get you there You can try and read my lyrics off of this paper before I lay 'em But you won't take the sting out these words before I say 'em'Cause ain't no way I'ma let you stop me from causin' mayhem When I say I'ma do somethin'  I do it  I don't give a damn what you think I'm doin' this for me  so fuck the world Feed it beans  it's gassed up if it thinks it's stoppin' me I'ma be what I set out to be  without a doubt  undoubtably And all those who look down on me  I'm tearin' down your balcony No ifs  ands or buts  don't try to ask him why or how can he From Infinite down to the last Relapse album he's Still shittin' whether he's on salary  paid hourly Until he bows out or he shits his bowels out of him Whichever comes first  for better or worse He's married to the game Like a ""fuck you"" for Christmas  his gift is a curse Forget the Earth  he's got the urge to pull his dick from the dirt And fuck the whole universe I'm not afraid To take a stand Everybody Come take my hand We'll walk this road together  through the storm Whatever weather  cold or warm Just lettin' you know that you're not alone Holla if you feel like you've been down the same road You might also like Okay  quit playin' with the scissors and shit  and cut the crap I shouldn't have to rhyme these words in a rhythm for you to know it's a wrap You said you was king  you lied through your teeth For that  fuck your feelings Instead of gettin' crowned  you're gettin' capped And to the fans  I'll never let you down again  I'm back I promise to never go back on that promise In fact  let's be honest  that last Relapse CD was ""ehh""Perhaps I ran them accents into the ground Relax  I ain't goin' back to that now All I'm tryna say is get back  click-clack-blaow!'Cause I ain't playin' around There's a game called circle and I don't know how I'm way too up to back down But I think I'm still tryna figure this crap out Thought I had it mapped out But I guess I didn't  this fuckin' black cloud still follows me around But it's time to exorcise these demons These ma'fuckers are doin' jumpin' jacks now I'm not afraid To take a stand Everybody Come take my hand We'll walk this road together  through the storm Whatever weather  cold or warm Just lettin' you know that you're not alone Holla if you feel like you've been down the same road And I just can't keep livin' this way So startin' today I'm breakin' out of this cage I'm standin' up  I'ma face my demons I'm mannin' up  I'ma hold my ground I've had enough  now I'm so fed up Time to put my life back together right now It was my decision to get clean  I did it for me Admittedly I probably did it subliminally for you So I could come back a brand-new me You helped see me through And don't even realize what you did  'cause believe me you I've been through the wringer But they can do little to the middle finger I think I got a tear in my eye  I feel like the king of My world  haters can make like bees with no stingers And drop dead: no more beef lingers No more drama from now on  I promise To focus solely on handlin' my responsibilities as a father So I solemnly swear to always treat this roof like my daughters and raise it You couldn't lift a single shingle on it'Cause the way I feel  I'm strong enough to go to the club Or the corner pub and lift the whole liquor counter up'Cause I'm raisin' the bar I'd shoot for the moon  but I'm too busy gazin' at stars I feel amazin'  and I'm—I'm not afraid To take a stand Everybody Come take my hand We'll walk this road together  through the storm Whatever weather  cold or warm Just lettin' you know that you're not alone Holla if you feel like you've been down the same road428Embed"
